rank,id,POSIX_OPENS,POSIX_FILENOS,POSIX_DUPS,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_MMAPS,POSIX_FSYNCS,POSIX_FDSYNCS,POSIX_RENAME_SOURCES,POSIX_RENAME_TARGETS,POSIX_RENAMED_FROM,POSIX_MODE,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_MAX_BYTE_READ,POSIX_MAX_BYTE_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_MEM_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FILE_ALIGNMENT,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_READ_1M_4M,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_READ_10M_100M,POSIX_SIZE_READ_100M_1G,POSIX_SIZE_READ_1G_PLUS,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_SIZE_WRITE_1M_4M,POSIX_SIZE_WRITE_4M_10M,POSIX_SIZE_WRITE_10M_100M,POSIX_SIZE_WRITE_100M_1G,POSIX_SIZE_WRITE_1G_PLUS,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,POSIX_FASTEST_RANK,POSIX_FASTEST_RANK_BYTES,POSIX_SLOWEST_RANK,POSIX_SLOWEST_RANK_BYTES
0,15202156880876629305,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7690,0,7689,0,1,0,1,0,0,1,8,1,4096,7690,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,0,0,0,1,0,0,0,0,0,0,0
0,5859259836061531499,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7752,0,7751,0,1,0,1,0,0,0,8,1,4096,7752,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752,0,0,0,1,0,0,0,0,0,0,0
0,102761975043933333,2,0,0,0,4,0,0,-1,0,0,0,0,0,438,0,1597,0,2052,0,0,0,1,0,0,8,1,4096,0,96,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1952,0,0,0,1,0,0,0,96,1400,5,0,2,1,1,0,0,0,0,0
1,11667188291584801054,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,3346,0,3345,0,1,0,1,0,0,1,8,1,4096,3346,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,0,0,0,1,0,0,0,0,0,0,0
1,12555955494673712463,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1472,0,1471,0,1,0,1,0,0,0,8,1,4096,1472,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,1,0,0,0,0,0,0,0
1,3307281927481968331,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,657,0,656,0,1,0,1,0,0,1,8,1,4096,657,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,1,0,0,0,0,0,0,0
1,5145104110454123389,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,388,0,387,0,1,0,1,0,0,1,8,1,4096,388,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,1,0,0,0,0,0,0,0
1,6537145792336552660,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,9905,0,9904,0,1,0,1,0,0,1,8,1,4096,9905,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9905,0,0,0,1,0,0,0,0,0,0,0
1,4475344197712173306,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1511,0,1510,0,1,0,1,0,0,1,8,1,4096,1511,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,0,1,0,0,0,0,0,0,0
1,6381420707284029669,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,17151,0,17150,0,1,0,1,0,0,1,8,1,4096,17151,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17151,0,0,0,1,0,0,0,0,0,0,0
1,17397936412979330770,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,19127,0,19126,0,1,0,1,0,0,1,8,1,4096,19127,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19127,0,0,0,1,0,0,0,0,0,0,0
1,10915257836493146699,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,22936,0,22935,0,1,0,1,0,0,0,8,1,4096,22936,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22936,0,0,0,1,0,0,0,0,0,0,0
1,3731107276272144558,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,30772,0,30771,0,1,0,1,0,0,1,8,1,4096,30772,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30772,0,0,0,1,0,0,0,0,0,0,0
1,4671607357833042575,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,14045,0,14044,0,1,0,1,0,0,1,8,1,4096,14045,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14045,0,0,0,1,0,0,0,0,0,0,0
1,4302727250512530304,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,2729,0,2728,0,1,0,1,0,0,1,8,1,4096,2729,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,0,0,0,1,0,0,0,0,0,0,0
1,12804283390680970974,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1741,0,1740,0,1,0,1,0,0,1,8,1,4096,1741,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,0,0,1,0,0,0,0,0,0,0
1,15202156880876629305,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7690,0,7689,0,1,0,1,0,0,1,8,1,4096,7690,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,0,0,0,1,0,0,0,0,0,0,0
1,5859259836061531499,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7752,0,7751,0,1,0,1,0,0,0,8,1,4096,7752,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752,0,0,0,1,0,0,0,0,0,0,0
1,13897830826422428904,2,0,0,0,4,0,0,-1,0,0,0,0,0,438,0,1597,0,2052,0,0,0,1,0,0,8,1,4096,0,96,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1952,0,0,0,1,0,0,0,96,1400,5,0,2,1,1,0,0,0,0,0
2,11667188291584801054,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,3346,0,3345,0,1,0,1,0,0,1,8,1,4096,3346,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,0,0,0,1,0,0,0,0,0,0,0
2,12555955494673712463,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1472,0,1471,0,1,0,1,0,0,0,8,1,4096,1472,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,1,0,0,0,0,0,0,0
2,3307281927481968331,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,657,0,656,0,1,0,1,0,0,1,8,1,4096,657,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,1,0,0,0,0,0,0,0
2,5145104110454123389,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,388,0,387,0,1,0,1,0,0,1,8,1,4096,388,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,1,0,0,0,0,0,0,0
2,6537145792336552660,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,9905,0,9904,0,1,0,1,0,0,1,8,1,4096,9905,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9905,0,0,0,1,0,0,0,0,0,0,0
2,4475344197712173306,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1511,0,1510,0,1,0,1,0,0,1,8,1,4096,1511,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,0,1,0,0,0,0,0,0,0
2,6381420707284029669,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,17151,0,17150,0,1,0,1,0,0,1,8,1,4096,17151,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17151,0,0,0,1,0,0,0,0,0,0,0
2,17397936412979330770,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,19127,0,19126,0,1,0,1,0,0,1,8,1,4096,19127,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19127,0,0,0,1,0,0,0,0,0,0,0
2,10915257836493146699,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,22936,0,22935,0,1,0,1,0,0,0,8,1,4096,22936,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22936,0,0,0,1,0,0,0,0,0,0,0
2,3731107276272144558,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,30772,0,30771,0,1,0,1,0,0,1,8,1,4096,30772,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30772,0,0,0,1,0,0,0,0,0,0,0
2,4671607357833042575,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,14045,0,14044,0,1,0,1,0,0,1,8,1,4096,14045,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14045,0,0,0,1,0,0,0,0,0,0,0
2,4302727250512530304,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,2729,0,2728,0,1,0,1,0,0,1,8,1,4096,2729,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,0,0,0,1,0,0,0,0,0,0,0
2,12804283390680970974,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,1741,0,1740,0,1,0,1,0,0,1,8,1,4096,1741,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,0,0,1,0,0,0,0,0,0,0
2,15202156880876629305,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7690,0,7689,0,1,0,1,0,0,1,8,1,4096,7690,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,0,0,0,1,0,0,0,0,0,0,0
2,5859259836061531499,1,0,0,2,0,2,0,-1,0,0,0,0,0,0,7752,0,7751,0,1,0,1,0,0,0,8,1,4096,7752,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752,0,0,0,1,0,0,0,0,0,0,0
2,17838893159472017391,2,0,0,0,4,0,0,-1,0,0,0,0,0,438,0,1597,0,2052,0,0,0,1,0,0,8,1,4096,0,96,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1952,0,0,0,1,0,0,0,96,1400,5,0,2,1,1,0,0,0,0,0
